Release Date,Time,Actual,Forecast,Previous
"Jul 01, 1988 (Jun)",4:00,18.40K,,3.70K
"Jun 01, 1988 (May)",4:00,3.70K,,13.40K
"May 01, 1988 (Apr)",4:00,13.40K,,20.00K
"Apr 01, 1988 (Mar)",4:00,20.00K,,40.70K
"Mar 01, 1988 (Feb)",4:00,40.70K,,18.60K
"Feb 01, 1988 (Jan)",4:00,18.60K,,63.90K
"Jan 01, 1988 (Dec)",4:00,63.90K,,32.00K
"Dec 01, 1987 (Nov)",4:00,32.00K,,65.50K
"Nov 01, 1987 (Oct)",4:00,65.50K,,45.70K
"Oct 01, 1987 (Sep)",4:00,45.70K,,30.70K
"Sep 01, 1987 (Aug)",4:00,30.70K,,26.10K
"Aug 01, 1987 (Jul)",4:00,26.10K,,33.70K
"Jul 01, 1987 (Jun)",4:00,33.70K,,56.20K
"Jun 01, 1987 (May)",4:00,56.20K,,47.50K
"May 01, 1987 (Apr)",4:00,47.50K,,50.60K
"Apr 01, 1987 (Mar)",4:00,50.60K,,29.40K
"Mar 01, 1987 (Feb)",4:00,29.40K,,22.30K
"Feb 01, 1987 (Jan)",4:00,22.30K,,-2.30K
"Jan 01, 1987 (Dec)",4:00,-2.30K,,22.40K
"Dec 01, 1986 (Nov)",4:00,22.40K,,24.40K
"Nov 01, 1986 (Oct)",4:00,24.40K,,10.50K
"Oct 01, 1986 (Sep)",4:00,10.50K,,7.60K
"Sep 01, 1986 (Aug)",4:00,7.60K,,0.20K
"Aug 01, 1986 (Jul)",4:00,0.20K,,39.70K
"Jul 01, 1986 (Jun)",4:00,39.70K,,-30.90K
"Jun 01, 1986 (May)",4:00,-30.90K,,81.80K
"May 01, 1986 (Apr)",4:00,81.80K,,8.40K
"Apr 01, 1986 (Mar)",4:00,8.40K,,14.40K
"Mar 01, 1986 (Feb)",4:00,14.40K,,43.00K
"Feb 01, 1986 (Jan)",4:00,43.00K,,41.50K
"Jan 01, 1986 (Dec)",4:00,41.50K,,65.00K
"Dec 01, 1985 (Nov)",4:00,65.00K,,30.70K
"Nov 01, 1985 (Oct)",4:00,30.70K,,11.20K
"Oct 01, 1985 (Sep)",4:00,11.20K,,31.00K
"Sep 01, 1985 (Aug)",4:00,31.00K,,54.10K
"Aug 01, 1985 (Jul)",4:00,54.10K,,13.30K
"Jul 01, 1985 (Jun)",4:00,13.30K,,42.20K
"Jun 01, 1985 (May)",4:00,42.20K,,40.10K
"May 01, 1985 (Apr)",4:00,40.10K,,25.10K
"Apr 01, 1985 (Mar)",4:00,25.10K,,24.60K
"Mar 01, 1985 (Feb)",4:00,24.60K,,51.40K
"Feb 01, 1985 (Jan)",4:00,51.40K,,39.20K
"Jan 01, 1985 (Dec)",4:00,39.20K,,3.40K
"Dec 01, 1984 (Nov)",4:00,3.40K,,13.90K
"Nov 01, 1984 (Oct)",4:00,13.90K,,24.50K
"Oct 01, 1984 (Sep)",4:00,24.50K,,-7.30K
"Sep 01, 1984 (Aug)",4:00,-7.30K,,42.10K
"Aug 01, 1984 (Jul)",4:00,42.10K,,69.00K
"Jul 01, 1984 (Jun)",4:00,69.00K,,47.00K
"Jun 01, 1984 (May)",4:00,47.00K,,-7.40K
"May 01, 1984 (Apr)",4:00,-7.40K,,2.00K
"Apr 01, 1984 (Mar)",4:00,2.00K,,35.30K
"Mar 01, 1984 (Feb)",4:00,35.30K,,-18.80K
"Feb 01, 1984 (Jan)",4:00,-18.80K,,25.40K
"Jan 01, 1984 (Dec)",4:00,25.40K,,-1.30K
"Dec 01, 1983 (Nov)",4:00,-1.30K,,-10.90K
"Nov 01, 1983 (Oct)",4:00,-10.90K,,47.60K
"Oct 01, 1983 (Sep)",4:00,47.60K,,53.20K
"Sep 01, 1983 (Aug)",4:00,53.20K,,52.00K
"Aug 01, 1983 (Jul)",4:00,52.00K,,68.90K
"Jul 01, 1983 (Jun)",4:00,68.90K,,19.90K
"Jun 01, 1983 (May)",4:00,19.90K,,57.70K
"May 01, 1983 (Apr)",4:00,57.70K,,56.70K
"Apr 01, 1983 (Mar)",4:00,56.70K,,17.10K
"Mar 01, 1983 (Feb)",4:00,17.10K,,27.00K
"Feb 01, 1983 (Jan)",4:00,27.00K,,10.00K
"Jan 01, 1983 (Dec)",4:00,10.00K,,-23.10K
"Dec 01, 1982 (Nov)",4:00,-23.10K,,-19.50K
"Nov 01, 1982 (Oct)",4:00,-19.50K,,-29.60K
"Oct 01, 1982 (Sep)",4:00,-29.60K,,-57.30K
"Sep 01, 1982 (Aug)",4:00,-57.30K,,-47.00K
"Aug 01, 1982 (Jul)",4:00,-47.00K,,-81.30K
"Jul 01, 1982 (Jun)",4:00,-81.30K,,-54.40K
"Jun 01, 1982 (May)",4:00,-54.40K,,-64.20K
"May 01, 1982 (Apr)",4:00,-64.20K,,-26.40K
"Apr 01, 1982 (Mar)",4:00,-26.40K,,-38.70K
"Mar 01, 1982 (Feb)",4:00,-38.70K,,-30.40K
"Feb 01, 1982 (Jan)",4:00,-30.40K,,-55.50K
"Jan 01, 1982 (Dec)",4:00,-55.50K,,-8.60K
"Dec 01, 1981 (Nov)",4:00,-8.60K,,-28.60K
"Nov 01, 1981 (Oct)",4:00,-28.60K,,-25.10K
"Oct 01, 1981 (Sep)",4:00,-25.10K,,17.40K
